Updated accumulative weights and branch weights:
Transaction 384: Accumulative weight = 44, Branch weight = 0
Transaction 385: Accumulative weight = 45, Branch weight = 0
Transaction 386: Accumulative weight = 43, Branch weight = 0
Transaction 387: Accumulative weight = 44, Branch weight = 0
Transaction 388: Accumulative weight = 44, Branch weight = 0
Transaction 389: Accumulative weight = 43, Branch weight = 0
Transaction 390: Accumulative weight = 43, Branch weight = 0
Transaction 391: Accumulative weight = 42, Branch weight = 0
Transaction 392: Accumulative weight = 42, Branch weight = 0
Transaction 393: Accumulative weight = 41, Branch weight = 0
Transaction 394: Accumulative weight = 40, Branch weight = 0
Transaction 395: Accumulative weight = 39, Branch weight = 0
Transaction 396: Accumulative weight = 38, Branch weight = 0
Transaction 397: Accumulative weight = 37, Branch weight = 0
Transaction 398: Accumulative weight = 36, Branch weight = 0
Transaction 399: Accumulative weight = 35, Branch weight = 0
Transaction 400: Accumulative weight = 34, Branch weight = 0
Transaction 401: Accumulative weight = 33, Branch weight = 0
Transaction 402: Accumulative weight = 32, Branch weight = 0
Transaction 403: Accumulative weight = 31, Branch weight = 0
Transaction 404: Accumulative weight = 30, Branch weight = 0
Transaction 405: Accumulative weight = 29, Branch weight = 0
Transaction 406: Accumulative weight = 28, Branch weight = 0
Transaction 407: Accumulative weight = 27, Branch weight = 0
Transaction 408: Accumulative weight = 26, Branch weight = 0
Transaction 409: Accumulative weight = 25, Branch weight = 0
Transaction 410: Accumulative weight = 24, Branch weight = 0
Transaction 411: Accumulative weight = 23, Branch weight = 0
Transaction 412: Accumulative weight = 22, Branch weight = 0
Transaction 413: Accumulative weight = 21, Branch weight = 0
Transaction 414: Accumulative weight = 20, Branch weight = 0
Transaction 415: Accumulative weight = 19, Branch weight = 0
Transaction 416: Accumulative weight = 18, Branch weight = 0
Transaction 417: Accumulative weight = 17, Branch weight = 0
Transaction 418: Accumulative weight = 16, Branch weight = 0
Transaction 419: Accumulative weight = 15, Branch weight = 0
Transaction 420: Accumulative weight = 14, Branch weight = 0
Transaction 421: Accumulative weight = 13, Branch weight = 0
Transaction 422: Accumulative weight = 12, Branch weight = 0
Transaction 423: Accumulative weight = 11, Branch weight = 0
Transaction 424: Accumulative weight = 10, Branch weight = 0
Transaction 425: Accumulative weight = 9, Branch weight = 0
Transaction 426: Accumulative weight = 8, Branch weight = 0
Transaction 427: Accumulative weight = 7, Branch weight = 0
Transaction 428: Accumulative weight = 6, Branch weight = 0
Transaction 429: Accumulative weight = 5, Branch weight = 0
Transaction 430: Accumulative weight = 4, Branch weight = 0
Transaction 431: Accumulative weight = 3, Branch weight = 0
Transaction 432: Accumulative weight = 2, Branch weight = 0
Transaction 433: Accumulative weight = 1, Branch weight = 0
